City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
444,Boyolangu,ID,75.0,overcast clouds,-8.1181,111.8935,Yos ega cv
450,Wajir,KE,81.79,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
452,Qingyuan,CN,75.0,light rain,23.7,113.0333,Guojin Commercial Hotel
456,Laguna,US,80.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
461,Mulege,MX,85.41,broken clouds,26.8833,-111.9833,Casa Granada
462,Pemangkat,ID,77.36,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
467,Sena Madureira,BR,79.09,overcast clouds,-9.0656,-68.6569,Hotel Central
469,Kantunilkin,MX,87.8,scattered clouds,21.0917,-87.45,Posada Paraiso
476,Tabou,CI,81.1,few clouds,4.423,-7.3528,hotêl doufoulougou
482,Auki,SB,77.61,light rain,-8.7676,160.7034,Auki Motel
492,Alta Floresta,BR,82.4,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
493,Santiago,CL,84.2,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
494,Barra Patuca,HN,84.58,clear sky,15.8,-84.2833,
514,Iralaya,HN,86.0,smoke,15.0,-83.2333,Iglesia morava renovada
519,Poum,NC,77.11,overcast clouds,-20.2333,164.0167,Gîte kajeon
523,Adre,TD,80.65,clear sky,13.4667,22.2,
528,Kavaratti,IN,82.92,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
533,San Matias,BO,85.82,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
535,Vicuna,CL,78.01,clear sky,-30.0319,-70.7081,Los Mosaicos
538,Afonso Bezerra,BR,85.23,overcast clouds,-5.4983,-36.5056,Pousada Shammah
539,Sao Geraldo Do Araguaia,BR,76.8,overcast clouds,-6.4006,-48.555,SOLAR DO BARROSO
543,Nouakchott,MR,80.6,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
545,Barber,CW,84.2,few clouds,12.2833,-69.0667,Cats & Pets
546,Sharjah,AE,87.8,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
550,Russell,US,78.8,clear sky,32.3502,-85.1999,Macs
551,Kilindoni,TZ,82.29,light rain,-7.9139,39.6668,Bustani B&B
553,Koumac,NC,76.6,overcast clouds,-20.5667,164.2833,Le Monitel
554,Warri,NG,79.21,overcast clouds,5.5167,5.75,BON Hotel Delta
555,Banda Aceh,ID,79.43,clear sky,5.5577,95.3222,Sulthan Hotel International
556,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
558,Ojinaga,MX,89.6,clear sky,29.5667,-104.4167,Suites Las Palmas
562,Mana,GF,79.29,scattered clouds,5.6592,-53.7767,LE SAMANA
564,Puro,PH,78.37,broken clouds,12.4841,123.3827,
568,Tauramena,CO,80.94,overcast clouds,5.0183,-72.7492,Hotel Paso del Oriente
569,Det Udom,TH,80.6,few clouds,14.905999999999999,105.0784,Chatsuda Resort
570,Quelimane,MZ,77.0,scattered clouds,-17.8786,36.8883,Hotel Flamingo
572,Sonoita,MX,90.0,overcast clouds,31.85,-112.8333,Hotel Nora
574,Barquisimeto,VE,89.6,broken clouds,10.0739,-69.3228,Hotel Príncipe
580,Rasipuram,IN,79.7,overcast clouds,11.4667,78.1667,KALYAN RESIDENCY
581,Kalmunai,LK,78.69,broken clouds,7.4167,81.8167,VS Villa
587,Fayaoue,NC,78.58,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
592,Waingapu,ID,75.88,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
594,Aba,NG,80.6,few clouds,5.1066,7.3667,Rosies Hotel Limited
595,Oranjestad,AW,82.99,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
596,Namibe,AO,80.11,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
598,Palizada,MX,86.0,clear sky,18.25,-92.0833,Hotel San Joaquín
602,Imbituba,BR,80.6,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
603,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
608,Forestville,US,78.8,few clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
610,Jacareacanga,BR,80.44,broken clouds,-6.2222,-57.7528,Casa do Ian😎
611,Belmonte,BR,82.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
614,Claremore,US,82.4,clear sky,36.3126,-95.6161,Super 8 by Wyndham Claremore OK
615,Paragominas,BR,75.07,heavy intensity rain,-2.9667,-47.4833,.
621,Santa Cruz Cabralia,BR,78.8,few clouds,-16.2781,-39.0247,Portobali Hotel
623,Le Vauclin,MQ,82.4,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
629,Srikakulam,IN,78.8,clear sky,18.3,83.9,Sriram residency
639,Sao Sebastiao Do Cai,BR,75.2,broken clouds,-29.5867,-51.3756,Agropecuária Lopes
642,Lasem,ID,77.27,few clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
644,Bam,IR,76.14,few clouds,29.105999999999998,58.357,Bam Tourist Hotel
645,Awbari,LY,82.49,scattered clouds,26.5921,12.7805,فندق أوباري
647,Lhokseumawe,ID,77.11,few clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
648,Piranhas,BR,78.33,clear sky,-16.4269,-51.8222,Planalto Hotel
649,Tra Vinh,VN,80.15,broken clouds,9.9347,106.3453,Hồng Ân
651,Pocone,BR,85.69,heavy intensity rain,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
657,Manaure,CO,86.4,overcast clouds,11.7751,-72.4445,Hotel Palaaima
658,Wichita Falls,US,86.0,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
661,Caucaia,BR,80.01,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
665,Lamar,US,80.6,clear sky,33.6668,-95.5836,Kings Inn Paris TX
667,Candido Mota,BR,79.12,clear sky,-22.7464,-50.3869,VIP Hotel
669,Harduaganj,IN,79.92,clear sky,27.95,78.1667,Paras Jyoti Hotel and Banquet Hall
670,Roura,GF,84.2,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
679,Sanchor,IN,79.95,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
681,Saint George,US,84.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
685,Grand-Lahou,CI,81.72,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
686,Bintulu,MY,77.0,light rain,3.1667,113.0333,900 Boutique INN
689,Abu Dhabi,AE,86.0,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
690,Wad Madani,SD,87.24,clear sky,14.4012,33.5199,فندق يوغسلافيا
693,Mayumba,GA,80.55,broken clouds,-3.432,10.6554,LIKWALE LODGE
697,Santa Cruz Del Sur,CU,83.23,broken clouds,20.7147,-77.9956,
700,Nioro,GM,81.99,clear sky,13.35,-15.75,
702,Hutchinson,US,80.6,clear sky,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
704,Ipixuna,BR,75.2,broken clouds,-1.7625,-48.8043,Casa da Oscarina
707,Abonnema,NG,80.6,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
708,Raga,SS,85.15,overcast clouds,8.4596,25.678,
710,Karaton,ID,78.01,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
711,Pindiga,NG,88.84,overcast clouds,9.9833,10.9333,Accommodation Center
712,San Policarpo,PH,77.47,overcast clouds,12.1791,125.5072,JM Lodge
714,Camargo,MX,86.25,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
722,Jati,PK,79.05,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
