City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Saldanha,ZA,-33.0117,17.9442,62.6,82,100,3.44,overcast clouds
202,Marawi,PH,7.9986,124.2928,73.99,90,26,7.0,scattered clouds
203,Tyup,KG,42.7276,78.3648,43.86,40,1,3.15,clear sky
204,Lakatoro,VU,-16.0999,167.4164,79.84,77,95,2.8,overcast clouds
205,Bathsheba,BB,13.2167,-59.5167,78.8,69,40,12.66,volcanic ash
206,Novyy Svit,UA,47.8059,38.0211,49.08,84,100,10.0,overcast clouds
207,Jiancheng,CN,30.391,104.5491,53.01,91,90,5.01,overcast clouds
208,Kaitangata,NZ,-46.2817,169.8464,53.11,95,38,3.89,scattered clouds
209,Rockingham,US,42.9668,-71.0995,50.0,59,100,1.99,overcast clouds
210,Torbay,CA,47.6666,-52.7314,34.0,100,90,13.8,mist
211,Tautira,PF,-17.7333,-149.15,87.8,58,75,12.66,broken clouds
212,Kenai,US,60.5544,-151.2583,25.0,58,90,24.16,overcast clouds
213,Nanortalik,GL,60.1432,-45.2371,37.42,59,0,6.06,clear sky
214,Isangel,VU,-19.55,169.2667,79.3,84,91,9.98,overcast clouds
215,Port Blair,IN,11.6667,92.75,81.75,76,100,5.01,overcast clouds
216,Karratha,AU,-20.7377,116.8463,82.51,77,70,6.51,broken clouds
217,Ahipara,NZ,-35.1667,173.1667,68.45,78,34,2.42,scattered clouds
218,Nuuk,GL,64.1835,-51.7216,35.6,69,40,13.8,scattered clouds
219,Ouesso,CG,1.6136,16.0517,71.46,97,95,2.82,overcast clouds
220,Egvekinot,RU,66.3167,-179.1667,-6.39,81,100,20.6,overcast clouds
221,Dhidhdhoo,MV,6.8833,73.1,82.89,66,7,2.73,clear sky
222,Qaqortoq,GL,60.7167,-46.0333,50.0,29,0,11.5,clear sky
223,Kropotkin,RU,45.4375,40.5756,48.0,81,100,2.93,overcast clouds
224,Tarakan,ID,3.3,117.6333,75.2,94,75,5.75,broken clouds
225,Salalah,OM,17.0151,54.0924,82.4,69,20,4.61,few clouds
226,Gushikawa,JP,26.3544,127.8686,69.8,73,75,11.5,broken clouds
227,Kiama,AU,-34.6833,150.8667,50.0,50,14,12.66,few clouds
228,Palauig,PH,15.435,119.9045,78.31,70,57,3.71,broken clouds
229,Hobyo,SO,5.3505,48.5268,82.38,61,47,11.07,scattered clouds
230,Itoman,JP,26.1247,127.6694,69.8,68,20,9.22,few clouds
231,Huambo,AO,-12.7761,15.7392,60.98,83,100,4.7,light rain
232,Lompoc,US,34.6391,-120.4579,66.0,63,86,18.41,overcast clouds
233,Lorengau,PG,-2.0226,147.2712,78.4,89,100,12.12,moderate rain
234,Souillac,MU,-20.5167,57.5167,78.8,89,40,6.91,scattered clouds
235,Hohhot,CN,40.8106,111.6522,41.0,75,40,17.9,light rain
236,Grand Gaube,MU,-20.0064,57.6608,79.0,82,99,1.99,light rain
237,Okha,RU,53.5739,142.9478,22.17,83,97,14.23,overcast clouds
238,Byron Bay,AU,-28.65,153.6167,57.2,54,90,6.91,overcast clouds
239,Mungwi,ZM,-10.1732,31.3694,61.02,98,95,5.08,overcast clouds
240,Balkanabat,TM,39.5108,54.3671,72.25,19,99,21.16,overcast clouds
241,Anuradhapura,LK,8.3565,80.4173,74.75,94,96,4.23,overcast clouds
242,Broken Hill,AU,-31.95,141.4333,42.8,65,16,4.61,few clouds
243,Saint-Augustin,CA,51.226,-58.6502,43.93,88,97,20.83,overcast clouds
244,Coari,BR,-4.085,-63.1414,82.08,82,56,0.58,broken clouds
245,Charleston,US,32.7766,-79.9309,77.0,53,75,10.36,broken clouds
246,Tabas,IR,33.5959,56.9244,76.62,30,96,5.66,overcast clouds
247,Shihezi,CN,44.3,86.0333,51.04,26,0,6.24,clear sky
248,East London,ZA,-33.0153,27.9116,71.35,84,100,3.02,overcast clouds
249,Raduzhnyy,RU,62.0961,77.475,38.03,98,100,12.3,overcast clouds
250,Luderitz,NA,-26.6481,15.1594,73.83,47,0,4.99,clear sky
251,Dong Hoi,VN,17.4833,106.6,75.0,91,18,6.93,few clouds
252,Udachnyy,RU,66.4167,112.4,-16.51,92,72,4.43,broken clouds
253,Lilongwe,MW,-13.9669,33.7873,63.37,95,99,2.93,overcast clouds
254,Mossendjo,CG,-2.9506,12.7261,70.32,85,93,2.73,overcast clouds
255,Humaita,BR,-7.5061,-63.0208,78.13,93,100,2.15,overcast clouds
256,Constitucion,CL,-35.3333,-72.4167,66.79,59,0,17.43,clear sky
257,Port Lincoln,AU,-34.7333,135.8667,59.49,63,100,14.76,overcast clouds
258,Tecuala,MX,22.3986,-105.4569,90.27,32,74,10.51,broken clouds
259,Kanashevo,RU,55.2169,62.0634,44.6,93,0,4.47,clear sky
260,Madang,PG,-5.2246,145.7966,75.09,92,97,2.95,overcast clouds
261,Altay,CN,47.8667,88.1167,34.61,31,0,10.56,clear sky
262,Kysyl-Syr,RU,63.8986,122.7617,-8.57,94,24,4.34,few clouds
263,Ugoofaaru,MV,5.6667,73.0,82.76,69,22,0.49,few clouds
264,Chalmette,US,29.9427,-89.9634,80.01,31,1,6.91,clear sky
265,Kedrovyy,RU,56.1667,91.8167,39.2,48,0,6.71,clear sky
