City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Atasu,KZ,2021-04-11 15:59:42,48.6814,71.6433,44.69,55,0,17.96
149,Padang,ID,2021-04-11 15:57:06,-0.9492,100.3543,77.0,100,40,2.3
150,Talnakh,RU,2021-04-11 15:58:16,69.4865,88.3972,21.92,96,94,8.68
151,Asosa,ET,2021-04-11 15:59:42,10.0667,34.5333,80.82,23,98,3.4
152,Carnarvon,AU,2021-04-11 15:59:43,-24.8667,113.6333,78.8,94,75,16.11
153,Dukat,RU,2021-04-11 15:59:43,62.55,155.55,-24.63,99,97,3.98
154,Karimganj,IN,2021-04-11 15:59:43,24.8667,92.35,81.5,39,87,4.05
155,Warmbad,NA,2021-04-11 15:59:44,-28.45,18.7333,93.63,14,2,7.07
156,Vostok,RU,2021-04-11 15:56:31,46.4856,135.8833,39.78,77,100,7.14
157,Puerto Maldonado,PE,2021-04-11 15:59:44,-12.6,-69.1833,82.4,74,40,3.44
158,Ust-Tsilma,RU,2021-04-11 15:59:44,65.441,52.1498,35.85,75,16,11.1
159,Hovd,MN,2021-04-11 15:59:45,48.0056,91.6419,32.09,28,6,4.16
160,Guerrero Negro,MX,2021-04-11 15:59:45,27.9769,-114.0611,62.73,69,94,15.05
161,Port Hardy,CA,2021-04-11 15:59:45,50.6996,-127.4199,41.0,81,20,8.05
162,Sambava,MG,2021-04-11 15:59:46,-14.2667,50.1667,77.83,85,100,11.99
163,Los Llanos De Aridane,ES,2021-04-11 15:58:19,28.6585,-17.9182,71.6,68,20,6.91
164,Tazovskiy,RU,2021-04-11 15:56:08,67.4667,78.7,31.08,91,100,17.18
165,Okha,RU,2021-04-11 15:59:46,53.5739,142.9478,29.5,85,100,13.47
166,Vila Velha,BR,2021-04-11 15:59:46,-20.3297,-40.2925,84.2,51,0,8.05
167,Goba,ET,2021-04-11 15:59:47,7.0167,39.9833,52.84,89,63,4.12
168,Stokmarknes,NO,2021-04-11 15:59:47,68.5646,14.9108,35.6,87,75,14.97
169,Kavieng,PG,2021-04-11 15:59:47,-2.5744,150.7967,79.99,78,100,3.13
170,Adrar,MR,2021-04-11 15:55:02,20.5022,-10.0711,95.13,11,18,7.61
171,Vasylivka,UA,2021-04-11 15:59:48,47.4369,35.2742,59.0,25,0,11.18
172,Jaciara,BR,2021-04-11 15:59:48,-15.9653,-54.9683,89.67,47,0,1.07
173,Cabo San Lucas,MX,2021-04-11 15:59:24,22.8909,-109.9124,66.2,59,75,3.44
174,Georgetown,MY,2021-04-11 15:57:59,5.4112,100.3354,82.0,89,40,2.3
175,Conceicao Do Araguaia,BR,2021-04-11 15:59:49,-8.2578,-49.2647,87.8,58,0,5.75
176,Mackay,AU,2021-04-11 15:59:49,-21.15,149.2,77.0,94,40,5.75
177,Luba,GQ,2021-04-11 15:59:49,3.4568,8.5547,84.2,84,40,5.75
178,Narasannapeta,IN,2021-04-11 15:59:49,18.4167,84.05,79.81,81,3,5.48
179,Kalmunai,LK,2021-04-11 15:57:49,7.4167,81.8167,81.19,74,90,4.9
180,Touros,BR,2021-04-11 15:59:50,-5.1989,-35.4608,87.8,66,75,12.66
